"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"3","SF","National","1991","Pregnant women","G","F","25Y29Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","37","-1","0.97","N/A","B","ELISA*2, IFA/WB","3,799"
"2","SF","National","1991","Pregnant women","G","F","20Y24Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","76","-1","1.57","N/A","B","ELISA*2, IFA/WB","4,850"
"1","SF","National","1991","Pregnant women","G","F","<20Y","R0074","Second National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 91.","P","South Africa","National","RSA Department of National Health and Population Development",1992,"Second National Survey of Women Attending Antenatal Clinics, South Africa, October/November 1991","Epidemiological Comments, vol. 19 no. 5, pp. 80-92.","HIV","27","-1","0.89","N/A","B","ELISA*2, IFA/WB","3,045"
"20","SF","National","2008","Children","C","B","15Y18Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","4.50","N/A","BS","ELISA*3","1,551"
"19","SF","National","2008","Children","C","B","12Y14Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","1.10","N/A","BS","ELISA*3","964"
"18","SF","National","2008","Children","C","B","05Y11Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","2.50","N/A","BS","ELISA*3","1,708"
"16","SF","National","2008","Children","C","F","00Y18Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","2.80","N/A","BS","ELISA*3, PCR/ELISA*3","2,883"
"15","SF","National","2008","Children","C","M","00Y18Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","2.90","N/A","BS","ELISA*3, PCR/ELISA*3","2,862"
"1","SF","National","2008","Children","C","B","00Y18Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","2.90","N/A","BS","ELISA*3, PCR/ELISA*3","5,745"
"28","SF","National","2002","Adults","N","M","55Y+","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","7.00","N/A","O","ELISA","N/A"
"27","SF","National","2002","Adults","N","F","50Y54Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","8.00","N/A","O","ELISA","N/A"
"26","SF","National","2002","Adults","N","M","50Y54Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","5.00","N/A","O","ELISA","N/A"
"25","SF","National","2002","Adults","N","F","45Y49Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","11.20","N/A","O","ELISA","N/A"
"24","SF","National","2002","Adults","N","M","45Y49Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","12.00","N/A","O","ELISA","N/A"
"108","SF","National","1993","Pregnant women","G","F","20Y24Y","R0101","Fourth National Survey.  All areas excluding Bophuthatswana.  Provinces & regions distribution is provided.  Oct. - Nov. 93.","P","South Africa","National","RSA Department of National Health and Population Development",1994,"Fourth National HIV Survey of Women Attending Antenatal Clinics, South Africa, October/ November 1993","Epidemiological Comments, vol. 21, no. 4, pp. 68-78.","HIV","158","-1","3.68","N/A","B","ELISA*2, IFA/WB","4,290"
"23","SF","National","2002","Adults","N","F","40Y44Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","19.00","N/A","O","ELISA","N/A"
"22","SF","National","2002","Adults","N","M","40Y44Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","12.00","N/A","O","ELISA","N/A"
"20","SF","National","2002","Adults","N","M","35Y39Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","18.00","N/A","O","ELISA","N/A"
"19","SF","National","2002","Adults","N","F","30Y34Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","24.10","N/A","O","ELISA","N/A"
"18","SF","National","2002","Adults","N","M","30Y34Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","24.00","N/A","O","ELISA","N/A"
"16","SF","National","2002","Adults","N","M","25Y29Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","22.00","N/A","O","ELISA","N/A"
"15","SF","National","2002","Adults","N","F","20Y24Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","17.10","N/A","O","ELISA","N/A"
"13","SF","National","2002","Adults","N","M","20Y24Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","8.00","N/A","O","ELISA","N/A"
"17","SF","National","2002","Adults","N","F","25Y29Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","32.00","N/A","O","ELISA","N/A"
"12","SF","National","2002","Adults","N","F","15Y19Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","7.30","N/A","O","ELISA","N/A"
"11","SF","National","2002","Adults","N","M","15Y19Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","4.00","N/A","O","ELISA","N/A"
"10","SF","National","2002","Children","C","F","02Y14Y","S0671","Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","0","-1","5.70","N/A","O","ELISA","1,161"
"9","SF","National","2002","Children","C","M","02Y14Y","S0671","Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","0","-1","5.20","N/A","O","ELISA","1,187"
"8","SF","National","2002","Children","C","B","02Y14Y","S0671","Sentinel surveillance.  1187 males & 1161 females.  Breakdown by sex is provided.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","0","-1","5.60","N/A","O","ELISA","2,348"
"21","SF","National","2002","Adults","N","F","35Y39Y","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","13.80","N/A","O","ELISA","N/A"
"81","SF","National","1996","Pregnant women","G","F","45Y49Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","3","-1","8.10","N/A","B","ELISA*2, RAPID","37"
"80","SF","National","1996","Pregnant women","G","F","40Y44Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","21","-1","8.71","N/A","B","ELISA*2, RAPID","241"
"79","SF","National","1996","Pregnant women","G","F","35Y39Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","99","-1","10.36","N/A","B","ELISA*2, RAPID","955"
"78","SF","National","1996","Pregnant women","G","F","30Y34Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","233","-1","12.52","N/A","B","ELISA*2, RAPID","1,861"
"77","SF","National","1996","Pregnant women","G","F","25Y29Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","454","-1","16.09","N/A","B","ELISA*2, RAPID","2,822"
"76","SF","National","1996","Pregnant women","G","F","20Y24Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","629","-1","18.02","N/A","B","ELISA*2, RAPID","3,491"
"29","SF","National","2002","Adults","N","F","55Y+","S0671","Only the prevalence rate was given.  Sentinel surveillance.  Saliva test: VIRONOSTIKA.","P","South Africa","National","Shisana, O., L. Simbayi, D. Phil",2002,"Nelson Mandela/HSRC Study of HIV/AIDS, South African National HIV Prevalence, Behavioural Risks and Mass Media: Household . ..","The Nelson Mandela Foundation, The Nelson Mandela Children's Fund, Swiss Agency for Development and Cooperation, The Human Sciences Research Council (HSRC), report.","HIV","-1","-1","7.00","N/A","O","ELISA","N/A"
"75","SF","National","1996","Pregnant women","G","F","<20Y","R0168","Seventh National Survey.  Oct. - Nov. 96.","P","South Africa","National","RSA Department of Health",1997,"Seventh National HIV Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South . ..","Epidemiological Comments, vol. 23, no. 2, pp. 4-16.","HIV","273","-1","12.68","N/A","B","ELISA*2, RAPID","2,151"
"17","SF","National","1995","Pregnant women","G","F","45Y49Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","1","-1","2.13","N/A","B","ELISA*2, RAPID","47"
"17","SF","National","2008","Children","C","B","00Y04Y","S1367","Total age given in S0985.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","3.30","N/A","BS","ELISA*3, PCR/ELISA*3","1,552"
"16","SF","National","1995","Pregnant women","G","F","40Y44Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","11","-1","3.96","N/A","B","ELISA*2, RAPID","278"
"15","SF","National","1995","Pregnant women","G","F","35Y39Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","59","-1","6.20","N/A","B","ELISA*2, RAPID","951"
"21","SF","National","2008","Children","C","B","00M24M","S1367","Only the prevalence rate was given.","P","South Africa","National","Shisana, O., L. C. Simbayi, T. Rehle, et al.",2010,"South African National HIV Prevalence, Incidence, Behavior and Communications Survey, 2008: The Health of Our Children","Human Science Research Council, Cape Town, South Africa, report.","HIV","-1","-1","2.10","N/A","BS","PCR","N/A"
"14","SF","National","1995","Pregnant women","G","F","30Y34Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","156","-1","8.13","N/A","B","ELISA*2, RAPID","1,920"
"13","SF","National","1995","Pregnant women","G","F","25Y29Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","289","-1","10.22","N/A","B","ELISA*2, RAPID","2,828"
"12","SF","National","1995","Pregnant women","G","F","20Y24Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","421","-1","12.04","N/A","B","ELISA*2, RAPID","3,497"
"11","SF","National","1995","Pregnant women","G","F","<20Y","R0142","Sixth National Survey.  Oct. - Nov. 95.","P","South Africa","National","RSA Department of Health",1996,"Sixth National Survey of Women Attending Antenatal Clinics of the Public Health Services in the Republic of South Africa, . ..","Epidemiological Comments, vol. 23, no. 1, pp. 3-16.","HIV","194","-1","9.04","N/A","B","ELISA*2, RAPID","2,145"
"16","SU","National","2007","Pregnant women","G","F","15Y24Y","E0218","Only the prevalence rate was given.  Attending antenatal care clinics.","P","Sudan","National","Elhadi, M., A. Elbadawi, S. Abdelrahman, et al.",2013,"Integrated Bio-Behavioural HIV Surveillance Surveys among Female Sex Workers in Sudan, 2011-2012","Sexually Transmitted Infections, vol. 89, suppl. 3, pp. iii17-iii22, <http://sti.bmj.com>, accessed on September 3, 2013.","HIV","-1","-1","0.30","N/A","B","UNK","N/A"
"4","TD","National","1983-1984","Homosexuals & bisexuals","H","M","23Y42Y","B0003","Persons were from Port of Spain and rest of Island.","P","Trinidad and Tobago","National","Bartholomew, C., C. Saxinger, J. Clark, et al.",1987,"Transmission of HTLV-1 and HIV among Homosexual Men in Trinidad","JAMA, vol. 257, no. 19, pp. 2604-2608.","HIV","21","-1","41.18","N/A","B","ELISA, WB","51"
"3","TD","National","1983-1984","Homosexuals & bisexuals","H","M","15Y22Y","B0003",,"P","Trinidad and Tobago","National","Bartholomew, C., C. Saxinger, J. Clark, et al.",1987,"Transmission of HTLV-1 and HIV among Homosexual Men in Trinidad","JAMA, vol. 257, no. 19, pp. 2604-2608.","HIV","19","-1","38.78","N/A","B","ELISA, WB","49"
"1","TH","National","1991","Military recruits","M","M","21Y","N0233","May 91.","P","Thailand","National","Nopkesorn, T., P. A. Mock, T. D. Mastro, et al.",1998,"HIV-1 Subtype E Incidence and Sexually Transmitted Diseases in a Cohort of Military Conscripts in Northern Thailand","Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology, vol. 18, no. 4, pp. 372-379.","HIV1","77","-1","6.90","N/A","B","ELISA, WB","1,115"
"7","TH","National","1995","Military recruits","M","M","22Y29Y","M0582","Royal Thai Military.  May & Nov. 95.","P","Thailand","National","Mason, C. J., S. Kitsiripornchai, L. E. Markowitz, et al.",1998,"Nationwide Surveillance of HIV-1 Prevalence and Subtype in Young Thai Men","Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology, vol. 19, no. 2, pp. 165-173.","HIV1","139","-1","4.23","N/A","B","ELISA, WB","3,289"
"6","TH","National","1995","Military recruits","M","M","21Y","M0582","Royal Thai Military.  May & Nov. 95.","P","Thailand","National","Mason, C. J., S. Kitsiripornchai, L. E. Markowitz, et al.",1998,"Nationwide Surveillance of HIV-1 Prevalence and Subtype in Young Thai Men","Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology, vol. 19, no. 2, pp. 165-173.","HIV1","1,141","-1","2.33","N/A","B","ELISA, WB","48,882"
"40","TH","National","1994","Military recruits","M","M","22Y29Y","M0419","Royal Thai Military.  Nov. 94.","P","Thailand","National","Mason, C. J., L. E. Markowitz, S. Kitsiripornchai, et al.",1995,"Declining Prevalence of HIV-1 Infection in young Thai Men","AIDS, vol. 9, no. 9, pp. 1061-1065.","HIV1","48","-1","5.00","N/A","B","ELISA, WB","960"
"39","TH","National","1994","Military recruits","M","M","21Y","M0419","Royal Thai Military.  Nov. 94.","P","Thailand","National","Mason, C. J., L. E. Markowitz, S. Kitsiripornchai, et al.",1995,"Declining Prevalence of HIV-1 Infection in young Thai Men","AIDS, vol. 9, no. 9, pp. 1061-1065.","HIV1","616","-1","2.46","N/A","B","ELISA, WB","25,063"
"38","TH","National","1992","Military recruits","M","M","22Y29Y","M0419","Royal Thai Military.  Nov. 92.","P","Thailand","National","Mason, C. J., L. E. Markowitz, S. Kitsiripornchai, et al.",1995,"Declining Prevalence of HIV-1 Infection in young Thai Men","AIDS, vol. 9, no. 9, pp. 1061-1065.","HIV1","55","-1","4.14","N/A","B","ELISA, WB","1,328"
"37","TH","National","1992","Military recruits","M","M","21Y","M0419","Royal Thai Military.  Nov. 92.","P","Thailand","National","Mason, C. J., L. E. Markowitz, S. Kitsiripornchai, et al.",1995,"Declining Prevalence of HIV-1 Infection in young Thai Men","AIDS, vol. 9, no. 9, pp. 1061-1065.","HIV1","936","-1","3.44","N/A","B","ELISA, WB","27,195"
"29","TZ","National","1991-1993","Adult TB pts.","U","B","55Y+","C0366","Apr. 91 - Dec. 93.","P","Tanzania","National","Chum, H. J., R. J. O'Brien, T. M. Chonde, et al.",1996,"An Epidemiological Study of Tuberculosis and HIV Infection in Tanzania, 1991-1993","AIDS, vol. 10. no. 3, pp. 299-309.","HIV","126","-1","15.05","N/A","BW","ELISA","837"
"28","TZ","National","1991-1993","Adult TB pts.","U","B","45Y54Y","C0366","Apr. 91 - Dec. 93.","P","Tanzania","National","Chum, H. J., R. J. O'Brien, T. M. Chonde, et al.",1996,"An Epidemiological Study of Tuberculosis and HIV Infection in Tanzania, 1991-1993","AIDS, vol. 10. no. 3, pp. 299-309.","HIV","164","-1","20.35","N/A","BW","ELISA","806"
"27","TZ","National","1991-1993","Adult TB pts.","U","B","35Y44Y","C0366","Apr. 91 - Dec. 93.","P","Tanzania","National","Chum, H. J., R. J. O'Brien, T. M. Chonde, et al.",1996,"An Epidemiological Study of Tuberculosis and HIV Infection in Tanzania, 1991-1993","AIDS, vol. 10. no. 3, pp. 299-309.","HIV","412","-1","32.57","N/A","BW","ELISA","1,265"
"26","TZ","National","1991-1993","Adult TB pts.","U","B","25Y34Y","C0366","Apr. 91 - Dec. 93.","P","Tanzania","National","Chum, H. J., R. J. O'Brien, T. M. Chonde, et al.",1996,"An Epidemiological Study of Tuberculosis and HIV Infection in Tanzania, 1991-1993","AIDS, vol. 10. no. 3, pp. 299-309.","HIV","921","-1","44.97","N/A","BW","ELISA","2,048"
"25","TZ","National","1991-1993","Adult TB pts.","U","B","15Y24Y","C0366","Apr. 91 - Dec. 93.","P","Tanzania","National","Chum, H. J., R. J. O'Brien, T. M. Chonde, et al.",1996,"An Epidemiological Study of Tuberculosis and HIV Infection in Tanzania, 1991-1993","AIDS, vol. 10. no. 3, pp. 299-309.","HIV","343","-1","28.63","N/A","BW","ELISA","1,198"
"32","TZ","National","1994-1998","Adult TB pts.","U","B","55Y+","R0369",,"P","Tanzania","National","Range, N., Y. A. Ipuge, R. J. O'Brien, et al.",2001,"Trend in HIV Prevalence among Tuberculosis Patients in Tanzania, 1991-1998","International Journal of Tuberculosis and Lung Disease, vol. 5, no. 5, pp. 405-412.","HIV","288","-1","22.64","N/A","BW","ELISA","1,272"
"31","TZ","National","1994-1998","Adult TB pts.","U","B","45Y54Y","R0369",,"P","Tanzania","National","Range, N., Y. A. Ipuge, R. J. O'Brien, et al.",2001,"Trend in HIV Prevalence among Tuberculosis Patients in Tanzania, 1991-1998","International Journal of Tuberculosis and Lung Disease, vol. 5, no. 5, pp. 405-412.","HIV","483","-1","35.08","N/A","BW","ELISA","1,377"
